"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1984","Check displaying of dashboard page","LMS system","2026-09-04","passed","2026-09-04","Dashboard","Dashboard","",""
"","1746","Navigation from login page to registration page","LMS system","2026-09-04","passed","2026-09-04","Authorization","Authentication","",""
"","2123","User login with wrong email or password","LMS system","2026-09-04","passed","2026-09-04","Authorization","Authentication","",""
"","3894","Edit course","LMS system","2026-09-04","passed","2026-09-04","Courses","Courses","",""
"","2423","Create course","LMS system","2026-09-04","passed","2026-09-04","Courses","Courses","",""
"","1655","Check displaying of empty courses list","LMS system","2026-09-04","passed","2026-09-04","Courses","Courses","",""
"","1821","Registration with correct email, username and password","LMS system","2026-09-04","passed","2026-09-04","Registration","Authentication","",""
"","2204","User login with wrong email or password","LMS system","2026-09-04","passed","2026-09-04","Authorization","Authentication","",""
"","3232","User login with correct email or password","LMS system","2026-09-04","passed","2026-09-04","Authorization","Authentication","",""
"","1892","User login with wrong email or password","LMS system","2026-09-04","passed","2026-09-04","Authorization","Authentication","",""
