"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","User login with correct email or password","LMS system","2026-08-28","broken","2026-08-28","Authorization","Authentication","",""
"","0","User login with wrong email or password","LMS system","2026-08-28","broken","2026-08-28","Authorization","Authentication","",""
"","0","Registration with correct email, username and password","LMS system","2026-08-28","broken","2026-08-28","Registration","Authentication","",""
"","0","Navigation from login page to registration page","LMS system","2026-08-28","broken","2026-08-28","Authorization","Authentication","",""
"","0","Edit course","LMS system","2026-08-28","broken","2026-08-28","Courses","Courses","",""
"","0","User login with wrong email or password","LMS system","2026-08-28","broken","2026-08-28","Authorization","Authentication","",""
"","0","Check displaying of empty courses list","LMS system","2026-08-28","broken","2026-08-28","Courses","Courses","",""
"","0","User login with wrong email or password","LMS system","2026-08-28","broken","2026-08-28","Authorization","Authentication","",""
"","0","Create course","LMS system","2026-08-28","broken","2026-08-28","Courses","Courses","",""
"","0","Check displaying of dashboard page","LMS system","2026-08-28","broken","2026-08-28","Dashboard","Dashboard","",""
